financial_year,dwelling_type,no_of_units
2008,HDB,992089
2008,DBSS,na
2009,HDB,999139
2009,DBSS,na
2010,HDB,1011027
2010,DBSS,na
2011,HDB,1028974
2011,DBSS,2748
2012,HDB,1040515
2012,DBSS,3951
2013,HDB,1057396
2013,DBSS,4757
2014,HDB,1084119
2014,DBSS,8203
2015,HDB,1107835
2015,DBSS,8650
2016,HDB,1133365
2016,DBSS,8650
2017,HDB,1164690
2017,DBSS,8650
2018,HDB,1180438
2018,DBSS,8650
2019,HDB,1193531
2019,DBSS,8650
2020,HDB,1201764
2020,DBSS,8650
2021,HDB,1215392
2021,DBSS,8650
2022,HDB,1239174
2022,DBSS,8650
2023,HDB,1257624
2023,DBSS,8650
