financial_year,category,no_of_units
2008,Civil Defence Shelters,446
2008,"Area Offices, Branch Offices and Town Council Offices",67
2008,Community Centres/Clubs,44
2008,Bus Interchanges,25
2009,Civil Defence Shelters,446
2009,"Area Offices, Branch Offices and Town Council Offices",67
2009,Community Centres/Clubs,44
2009,Bus Interchanges,25
2010,Civil Defence Shelters,446
2010,"Area Offices, Branch Offices and Town Council Offices",67
2010,Community Centres/Clubs,44
2010,Bus Interchanges,25
2011,Civil Defence Shelters,446
2011,"Area Offices, Branch Offices and Town Council Offices",67
2011,Community Centres/Clubs,44
2011,Bus Interchanges,25
2012,Civil Defence Shelters,446
2012,"Admin Offices, Branch Offices and Town Council Offices",69
2012,Community Centres (void decks),44
2012,Bus Interchanges,25
2013,Civil Defence Shelters,446
2013,"Admin Offices, Branch Offices and Town Council Offices",71
2013,Community Centres (void decks),47
2013,Bus Interchanges,25
2014,Civil Defence Shelters,446
2014,"Admin Offices, Branch Offices and Town Council Offices",71
2014,Community Centres (void decks),48
2014,Bus Interchanges,25
2015,Civil Defence Shelters,446
2015,"Admin Offices, Branch Offices and Town Council Offices",71
2015,Community Centres (void decks),48
2015,Bus Interchanges,25
2016,Civil Defence Shelters,446
2016,"Admin Offices, Branch Offices and Town Council Offices",73
2016,Community Centres (void decks),49
2016,Bus Interchanges,25
2017,Civil Defence Shelters,446
2017,"Admin Offices, Branch Offices and Town Council Offices",74
2017,Community Centres (void decks),52
2017,Bus Interchanges,25
2018,Civil Defence Shelters,446
2018,"Admin Offices, Branch Offices and Town Council Offices",74
2018,Community Centres (void decks),55
2018,Bus Interchanges,25
2019,Civil Defence Shelters,446
2019,"Admin Offices, Branch Offices and Town Council Offices",75
2019,Community Centres (void decks),55
2019,Bus Interchanges,25
2020,Civil Defence Shelters,446
2020,"Admin Offices, Branch Offices and Town Council Offices",75
2020,Community Centres (void decks),55
2020,Bus Interchanges,25
2021,Civil Defence Shelters,446
2021,"Admin Offices, Branch Offices and Town Council Offices",76
2021,Community Centres (void decks),55
2021,Bus Interchanges,25
2022,Civil Defence Shelters,446
2022,"Admin Offices, Branch Offices and Town Council Offices",77
2022,Community Centres (void decks),55
2022,Bus Interchanges,25
2023,Civil Defence Shelters,446
2023,"Admin Offices, Branch Offices and Town Council Offices",78
2023,Community Centres (void decks),55
2023,Bus Interchanges,na
