financial_year,category,no_of_units
2008,Ready-Built Factories,13920
2008,Land Leases,0
2008,Wholesale,1145
2009,Ready-Built Factories,14098
2009,Land Leases,0
2009,Wholesale,1145
2010,Ready-Built Factories,14098
2010,Land Leases,0
2010,Wholesale,1145
2011,Ready-Built Factories,14098
2011,Land Leases,0
2011,Wholesale,1145
2012,Ready-Built Factories,14098
2012,Land Leases,0
2012,Wholesale,1145
2013,Ready-Built Factories,14098
2013,Land Leases,0
2013,Wholesale,1145
2014,Ready-Built Factories,14167
2014,Land Leases,0
2014,Wholesale,1145
2015,Ready-Built Factories,14167
2015,Land Leases,0
2015,Wholesale,1200
2016,Ready-Built Factories,15528
2016,Land Leases,0
2016,Wholesale,1199
2017,Ready-Built Factories,15528
2017,Land Leases,0
2017,Wholesale,1199
