quarter,ec_launched_status,type_of_sale,units
2008-Q1,Completed EC,New sale,25
2008-Q1,EC 10 years or more from TOP,Resale,0
2008-Q1,EC Launched,na,0
2008-Q1,EC Less than 10 years from TOP,Resale,129
2008-Q1,Uncompleted EC,New sale,20
2008-Q2,Completed EC,New sale,5
2008-Q2,EC 10 years or more from TOP,Resale,0
2008-Q2,EC Launched,na,0
2008-Q2,EC Less than 10 years from TOP,Resale,166
2008-Q2,Uncompleted EC,New sale,0
2008-Q3,Completed EC,New sale,0
2008-Q3,EC 10 years or more from TOP,Resale,0
2008-Q3,EC Launched,na,0
2008-Q3,EC Less than 10 years from TOP,Resale,197
2008-Q3,Uncompleted EC,New sale,0
2008-Q4,Completed EC,New sale,0
2008-Q4,EC 10 years or more from TOP,Resale,0
2008-Q4,EC Launched,na,0
2008-Q4,EC Less than 10 years from TOP,Resale,111
2008-Q4,Uncompleted EC,New sale,0
2009-Q1,Completed EC,New sale,0
2009-Q1,EC 10 years or more from TOP,Resale,1
2009-Q1,EC Launched,na,0
2009-Q1,EC Less than 10 years from TOP,Resale,115
2009-Q1,Uncompleted EC,New sale,0
2009-Q2,Completed EC,New sale,0
2009-Q2,EC 10 years or more from TOP,Resale,41
2009-Q2,EC Launched,na,0
2009-Q2,EC Less than 10 years from TOP,Resale,215
2009-Q2,Uncompleted EC,New sale,0
2009-Q3,Completed EC,New sale,0
2009-Q3,EC 10 years or more from TOP,Resale,41
2009-Q3,EC Launched,na,0
2009-Q3,EC Less than 10 years from TOP,Resale,251
2009-Q3,Uncompleted EC,New sale,0
2009-Q4,Completed EC,New sale,0
2009-Q4,EC 10 years or more from TOP,Resale,41
2009-Q4,EC Launched,na,0
2009-Q4,EC Less than 10 years from TOP,Resale,197
2009-Q4,Uncompleted EC,New sale,0
2010-Q1,Completed EC,New sale,0
2010-Q1,EC 10 years or more from TOP,Resale,36
2010-Q1,EC Launched,na,0
2010-Q1,EC Less than 10 years from TOP,Resale,199
2010-Q1,Uncompleted EC,New sale,0
2010-Q2,Completed EC,New sale,0
2010-Q2,EC 10 years or more from TOP,Resale,64
2010-Q2,EC Launched,na,0
2010-Q2,EC Less than 10 years from TOP,Resale,209
2010-Q2,Uncompleted EC,New sale,0
2010-Q3,Completed EC,New sale,0
2010-Q3,EC 10 years or more from TOP,Resale,89
2010-Q3,EC Launched,na,0
2010-Q3,EC Less than 10 years from TOP,Resale,153
2010-Q3,Uncompleted EC,New sale,0
2010-Q4,Completed EC,New sale,0
2010-Q4,EC 10 years or more from TOP,Resale,150
2010-Q4,EC Launched,na,1659
2010-Q4,EC Less than 10 years from TOP,Resale,89
2010-Q4,Uncompleted EC,New sale,1052
2011-Q1,Completed EC,New sale,0
2011-Q1,EC 10 years or more from TOP,Resale,130
2011-Q1,EC Launched,na,540
2011-Q1,EC Less than 10 years from TOP,Resale,75
2011-Q1,Uncompleted EC,New sale,608
