shs_year,ethnic_group,flat_type,percentage
2008,Chinese,1-room,2
2008,Malay,1-room,2.7
2008,Indian,1-room,2.8
2008,Others,1-room,2.1
2008,All,1-room,2.1
2008,Chinese,2-room,2.9
2008,Malay,2-room,5.1
2008,Indian,2-room,3.9
2008,Others,2-room,4.3
2008,All,2-room,3.3
2008,Chinese,3-room,25
2008,Malay,3-room,23.5
2008,Indian,3-room,24
2008,Others,3-room,21.7
2008,All,3-room,24.7
2008,Chinese,4-room,37.9
2008,Malay,4-room,41.1
2008,Indian,4-room,38.2
2008,Others,4-room,36.5
2008,All,4-room,38.3
2008,Chinese,5-room,24.5
2008,Malay,5-room,21
2008,Indian,5-room,22.5
2008,Others,5-room,26.1
2008,All,5-room,23.9
2008,Chinese,Executive,7.7
2008,Malay,Executive,6.7
2008,Indian,Executive,8.7
2008,Others,Executive,9.3
2008,All,Executive,7.7
2013,Chinese,1-room,2.3
2013,Malay,1-room,5.1
2013,Indian,1-room,3.5
2013,Others,1-room,2.5
2013,All,1-room,2.7
2013,Chinese,2-room,3
2013,Malay,2-room,7.8
2013,Indian,2-room,4.5
2013,Others,2-room,3.5
2013,All,2-room,3.8
2013,Chinese,3-room,24.2
2013,Malay,3-room,22.5
2013,Indian,3-room,22.6
2013,Others,3-room,19.9
2013,All,3-room,23.8
2013,Chinese,4-room,39.1
2013,Malay,4-room,38.8
2013,Indian,4-room,38.3
2013,Others,4-room,38.7
2013,All,4-room,39
2013,Chinese,5-room,24.2
2013,Malay,5-room,19.4
2013,Indian,5-room,23.2
2013,Others,5-room,28
2013,All,5-room,23.6
2013,Chinese,Executive,7.2
2013,Malay,Executive,6.4
2013,Indian,Executive,7.9
2013,Others,Executive,7.4
2013,All,Executive,7.1
2018,Chinese,1-room,2.5
2018,Malay,1-room,5.9
2018,Indian,1-room,3.3
2018,Others,1-room,1.3
2018,All,1-room,3
2018,Chinese,2-room,3.5
2018,Malay,2-room,9.2
2018,Indian,2-room,5.7
2018,Others,2-room,2.3
2018,All,2-room,4.4
2018,Chinese,3-room,23
2018,Malay,3-room,22.3
2018,Indian,3-room,23.4
2018,Others,3-room,20.7
2018,All,3-room,22.9
2018,Chinese,4-room,40.6
2018,Malay,4-room,38.2
2018,Indian,4-room,38
2018,Others,4-room,37.2
2018,All,4-room,40
2018,Chinese,5-room,24
2018,Malay,5-room,18.7
2018,Indian,5-room,22.7
2018,Others,5-room,30.7
2018,All,5-room,23.3
2018,Chinese,Executive,6.5
2018,Malay,Executive,5.6
2018,Indian,Executive,6.9
2018,Others,Executive,7.8
2018,All,Executive,6.4
