quarter,type_of_sale,sale_status,units
2004-Q1,New Sale,Completed,71
2004-Q1,New Sale,Uncompleted,360
2004-Q1,Resale,na,653
2004-Q1,Sub Sale,na,41
2004-Q2,New Sale,Completed,56
2004-Q2,New Sale,Uncompleted,308
2004-Q2,Resale,na,767
2004-Q2,Sub Sale,na,44
2004-Q3,New Sale,Completed,79
2004-Q3,New Sale,Uncompleted,873
2004-Q3,Resale,na,811
2004-Q3,Sub Sale,na,35
2004-Q4,New Sale,Completed,21
2004-Q4,New Sale,Uncompleted,411
2004-Q4,Resale,na,703
2004-Q4,Sub Sale,na,34
2005-Q1,New Sale,Completed,40
2005-Q1,New Sale,Uncompleted,310
2005-Q1,Resale,na,742
2005-Q1,Sub Sale,na,36
2005-Q2,New Sale,Completed,54
2005-Q2,New Sale,Uncompleted,706
2005-Q2,Resale,na,746
2005-Q2,Sub Sale,na,44
2005-Q3,New Sale,Completed,259
2005-Q3,New Sale,Uncompleted,594
2005-Q3,Resale,na,1127
2005-Q3,Sub Sale,na,42
2005-Q4,New Sale,Completed,63
2005-Q4,New Sale,Uncompleted,337
2005-Q4,Resale,na,1046
2005-Q4,Sub Sale,na,70
2006-Q1,New Sale,Completed,40
2006-Q1,New Sale,Uncompleted,503
2006-Q1,Resale,na,1059
2006-Q1,Sub Sale,na,43
2006-Q2,New Sale,Completed,58
2006-Q2,New Sale,Uncompleted,568
2006-Q2,Resale,na,1271
2006-Q2,Sub Sale,na,33
2006-Q3,New Sale,Completed,97
2006-Q3,New Sale,Uncompleted,515
2006-Q3,Resale,na,1410
2006-Q3,Sub Sale,na,27
2006-Q4,New Sale,Completed,86
2006-Q4,New Sale,Uncompleted,1069
2006-Q4,Resale,na,1829
2006-Q4,Sub Sale,na,79
2007-Q1,New Sale,Completed,158
2007-Q1,New Sale,Uncompleted,1216
2007-Q1,Resale,na,1961
2007-Q1,Sub Sale,na,83
2007-Q2,New Sale,Completed,208
2007-Q2,New Sale,Uncompleted,2163
2007-Q2,Resale,na,3537
2007-Q2,Sub Sale,na,277
2007-Q3,New Sale,Completed,15
2007-Q3,New Sale,Uncompleted,1269
2007-Q3,Resale,na,2615
2007-Q3,Sub Sale,na,270
2007-Q4,New Sale,Completed,25
2007-Q4,New Sale,Uncompleted,425
2007-Q4,Resale,na,1763
2007-Q4,Sub Sale,na,151
2008-Q1,New Sale,Completed,27
2008-Q1,New Sale,Uncompleted,310
2008-Q1,Resale,na,1202
2008-Q1,Sub Sale,na,120
2008-Q2,New Sale,Completed,81
2008-Q2,New Sale,Uncompleted,500
2008-Q2,Resale,na,1315
2008-Q2,Sub Sale,na,182
2008-Q3,New Sale,Completed,37
2008-Q3,New Sale,Uncompleted,665
2008-Q3,Resale,na,1280
2008-Q3,Sub Sale,na,170
2008-Q4,New Sale,Completed,6
2008-Q4,New Sale,Uncompleted,190
2008-Q4,Resale,na,574
2008-Q4,Sub Sale,na,74
2009-Q1,New Sale,Completed,19
2009-Q1,New Sale,Uncompleted,1618
2009-Q1,Resale,na,707
2009-Q1,Sub Sale,na,144
2009-Q2,New Sale,Completed,55
2009-Q2,New Sale,Uncompleted,1320
2009-Q2,Resale,na,2282
2009-Q2,Sub Sale,na,366
2009-Q3,New Sale,Completed,16
2009-Q3,New Sale,Uncompleted,2509
2009-Q3,Resale,na,3022
2009-Q3,Sub Sale,na,461
2009-Q4,New Sale,Completed,5
2009-Q4,New Sale,Uncompleted,518
2009-Q4,Resale,na,2106
2009-Q4,Sub Sale,na,295
2010-Q1,New Sale,Completed,10
2010-Q1,New Sale,Uncompleted,1718
2010-Q1,Resale,na,2566
2010-Q1,Sub Sale,na,307
2010-Q2,New Sale,Completed,4
2010-Q2,New Sale,Uncompleted,1620
2010-Q2,Resale,na,2754
2010-Q2,Sub Sale,na,307
2010-Q3,New Sale,Completed,13
2010-Q3,New Sale,Uncompleted,1753
2010-Q3,Resale,na,2512
2010-Q3,Sub Sale,na,276
2010-Q4,New Sale,Completed,34
2010-Q4,New Sale,Uncompleted,2205
2010-Q4,Resale,na,2166
2010-Q4,Sub Sale,na,267
2011-Q1,New Sale,Completed,15
2011-Q1,New Sale,Uncompleted,1901
2011-Q1,Resale,na,1887
2011-Q1,Sub Sale,na,235
2011-Q2,New Sale,Completed,23
2011-Q2,New Sale,Uncompleted,2709
2011-Q2,Resale,na,2393
2011-Q2,Sub Sale,na,308
2011-Q3,New Sale,Completed,26
2011-Q3,New Sale,Uncompleted,3082
2011-Q3,Resale,na,1736
2011-Q3,Sub Sale,na,269
2011-Q4,New Sale,Completed,18
2011-Q4,New Sale,Uncompleted,2600
2011-Q4,Resale,na,1413
2011-Q4,Sub Sale,na,250
2012-Q1,New Sale,Completed,7
2012-Q1,New Sale,Uncompleted,5268
2012-Q1,Resale,na,1142
2012-Q1,Sub Sale,na,196
2012-Q2,New Sale,Completed,10
2012-Q2,New Sale,Uncompleted,3727
