quarter,type_of_sale,sale_status,units
2004-Q1,New Sale,Completed,128
2004-Q1,New Sale,Uncompleted,399
2004-Q1,Resale,na,359
2004-Q1,Sub Sale,na,16
2004-Q2,New Sale,Completed,128
2004-Q2,New Sale,Uncompleted,512
2004-Q2,Resale,na,407
2004-Q2,Sub Sale,na,29
2004-Q3,New Sale,Completed,166
2004-Q3,New Sale,Uncompleted,144
2004-Q3,Resale,na,397
2004-Q3,Sub Sale,na,29
2004-Q4,New Sale,Completed,113
2004-Q4,New Sale,Uncompleted,207
2004-Q4,Resale,na,456
2004-Q4,Sub Sale,na,36
2005-Q1,New Sale,Completed,36
2005-Q1,New Sale,Uncompleted,184
2005-Q1,Resale,na,474
2005-Q1,Sub Sale,na,22
2005-Q2,New Sale,Completed,72
2005-Q2,New Sale,Uncompleted,1133
2005-Q2,Resale,na,551
2005-Q2,Sub Sale,na,35
2005-Q3,New Sale,Completed,83
2005-Q3,New Sale,Uncompleted,706
2005-Q3,Resale,na,774
2005-Q3,Sub Sale,na,41
2005-Q4,New Sale,Completed,99
2005-Q4,New Sale,Uncompleted,594
2005-Q4,Resale,na,641
2005-Q4,Sub Sale,na,43
2006-Q1,New Sale,Completed,76
2006-Q1,New Sale,Uncompleted,811
2006-Q1,Resale,na,634
2006-Q1,Sub Sale,na,31
2006-Q2,New Sale,Completed,41
2006-Q2,New Sale,Uncompleted,1110
2006-Q2,Resale,na,857
2006-Q2,Sub Sale,na,42
2006-Q3,New Sale,Completed,85
2006-Q3,New Sale,Uncompleted,494
2006-Q3,Resale,na,872
2006-Q3,Sub Sale,na,62
2006-Q4,New Sale,Completed,126
2006-Q4,New Sale,Uncompleted,1336
2006-Q4,Resale,na,1121
2006-Q4,Sub Sale,na,118
2007-Q1,New Sale,Completed,42
2007-Q1,New Sale,Uncompleted,1294
2007-Q1,Resale,na,1478
2007-Q1,Sub Sale,na,208
2007-Q2,New Sale,Completed,38
2007-Q2,New Sale,Uncompleted,1461
2007-Q2,Resale,na,2423
2007-Q2,Sub Sale,na,576
2007-Q3,New Sale,Completed,10
2007-Q3,New Sale,Uncompleted,975
2007-Q3,Resale,na,1630
2007-Q3,Sub Sale,na,518
2007-Q4,New Sale,Completed,4
2007-Q4,New Sale,Uncompleted,554
2007-Q4,Resale,na,980
2007-Q4,Sub Sale,na,245
2008-Q1,New Sale,Completed,1
2008-Q1,New Sale,Uncompleted,201
2008-Q1,Resale,na,658
2008-Q1,Sub Sale,na,157
2008-Q2,New Sale,Completed,17
2008-Q2,New Sale,Uncompleted,574
2008-Q2,Resale,na,667
2008-Q2,Sub Sale,na,177
2008-Q3,New Sale,Completed,28
2008-Q3,New Sale,Uncompleted,577
2008-Q3,Resale,na,481
2008-Q3,Sub Sale,na,198
2008-Q4,New Sale,Completed,1
2008-Q4,New Sale,Uncompleted,84
2008-Q4,Resale,na,246
2008-Q4,Sub Sale,na,112
2009-Q1,New Sale,Completed,4
2009-Q1,New Sale,Uncompleted,712
2009-Q1,Resale,na,276
2009-Q1,Sub Sale,na,149
2009-Q2,New Sale,Completed,11
2009-Q2,New Sale,Uncompleted,1815
2009-Q2,Resale,na,1011
2009-Q2,Sub Sale,na,350
2009-Q3,New Sale,Completed,14
2009-Q3,New Sale,Uncompleted,1853
2009-Q3,Resale,na,1669
2009-Q3,Sub Sale,na,390
2009-Q4,New Sale,Completed,2
2009-Q4,New Sale,Uncompleted,471
2009-Q4,Resale,na,1131
2009-Q4,Sub Sale,na,181
2010-Q1,New Sale,Completed,6
2010-Q1,New Sale,Uncompleted,719
2010-Q1,Resale,na,1445
2010-Q1,Sub Sale,na,300
2010-Q2,New Sale,Completed,47
2010-Q2,New Sale,Uncompleted,1663
2010-Q2,Resale,na,1537
2010-Q2,Sub Sale,na,262
2010-Q3,New Sale,Completed,32
2010-Q3,New Sale,Uncompleted,1324
2010-Q3,Resale,na,1382
2010-Q3,Sub Sale,na,295
2010-Q4,New Sale,Completed,124
2010-Q4,New Sale,Uncompleted,884
2010-Q4,Resale,na,1265
2010-Q4,Sub Sale,na,248
2011-Q1,New Sale,Completed,105
2011-Q1,New Sale,Uncompleted,993
2011-Q1,Resale,na,1016
2011-Q1,Sub Sale,na,214
2011-Q2,New Sale,Completed,44
2011-Q2,New Sale,Uncompleted,1090
2011-Q2,Resale,na,1307
2011-Q2,Sub Sale,na,288
2011-Q3,New Sale,Completed,15
2011-Q3,New Sale,Uncompleted,903
2011-Q3,Resale,na,965
2011-Q3,Sub Sale,na,178
2011-Q4,New Sale,Completed,27
2011-Q4,New Sale,Uncompleted,764
2011-Q4,Resale,na,802
2011-Q4,Sub Sale,na,232
2012-Q1,New Sale,Completed,52
2012-Q1,New Sale,Uncompleted,1061
2012-Q1,Resale,na,692
2012-Q1,Sub Sale,na,179
2012-Q2,New Sale,Completed,38
2012-Q2,New Sale,Uncompleted,1183
2012-Q2,Resale,na,1126
2012-Q2,Sub Sale,na,300
2012-Q3,New Sale,Completed,32
2012-Q3,New Sale,Uncompleted,814
2012-Q3,Resale,na,1139
2012-Q3,Sub Sale,na,252
2012-Q4,New Sale,Completed,15
2012-Q4,New Sale,Uncompleted,972
2012-Q4,Resale,na,1005
2012-Q4,Sub Sale,na,249
2013-Q1,New Sale,Completed,2
2013-Q1,New Sale,Uncompleted,1348
2013-Q1,Resale,na,623
2013-Q1,Sub Sale,na,118
2013-Q2,New Sale,Completed,8
2013-Q2,New Sale,Uncompleted,1357
2013-Q2,Resale,na,613
2013-Q2,Sub Sale,na,112
2013-Q3,New Sale,Completed,18
2013-Q3,New Sale,Uncompleted,1040
2013-Q3,Resale,na,400
2013-Q3,Sub Sale,na,76
2013-Q4,New Sale,Completed,22
2013-Q4,New Sale,Uncompleted,723
2013-Q4,Resale,na,333
