DataSeries,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q
Total Office Space,na,na,na,na,na,na,na,na,na,871,856,909,903,1081,1195,1196,1147,997,1034,1068,996,1006,987,916,770,712,776,788,790,708,722,918,824,818,858,857,794,841,908,785,795,906,926,887,993,1037,1065,1049,1056,1052,1028,1056,1247,1215,1128,1123,1213,1358,1253,1276,1267,1229,1157,1114,1166,1203,1265,1280,1218,1301,1030,1078,1098,1245,1295,1450,1645,1674,1741,1683,1318,1142,947,753,692,608,538,554,544,579,579,490,538,561,562,597,695,722,722,735,985,1126,1087,1114,1114,1317,1372,1355,1299,1386,1508,1706,1638,1676,1722,1803,1809,2059,2353,2656,2433,2621,2705,2823,2596,2493,2568,2708,2756,2562,2582,2554,2308,2063,2058,2198,2386,2498
    Under Construction,na,na,na,na,na,na,na,na,na,518,456,424,397,505,620,559,564,568,504,542,551,520,510,469,472,449,465,478,480,453,521,628,696,690,689,632,625,574,636,501,385,480,604,617,722,796,825,715,741,769,746,814,986,860,849,800,871,1002,977,970,876,659,564,581,574,588,710,653,664,782,798,857,895,1020,1076,1138,1134,1015,737,471,417,373,367,344,237,236,270,281,322,327,334,322,354,318,309,327,384,390,399,399,463,306,375,507,503,568,735,657,708,802,931,972,1029,1043,1102,1113,1134,1096,1143,1141,1095,1167,1287,1200,1079,1006,923,1078,1243,1183,1133,1136,1164,1213,1155,1235,1292,1339
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,79,63,124,90,52,52,91,72,24,105,131,131,11,2,46,45,64,59,59,58,84,31,31,31,30,31,57,44,50,44,44,101,61,52,90,64,151,124,125,72,53,84,54,66,93,119,171,112,117,150,149,169,156,160,282,205,115,116,121,123,90,78,83,79,89,86,85,77,42,58,115,115,118,75,93,97,15,22,12,14,73,71,70,95,139,147,147,152,140,165,159,158,301,161,131,132,99,99,99,90,128,125,132,93,101,99,129,129,128,133,202,101,131,106,185,194,86,112,73,77,91,175,162,149,141,124,96,111,113
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,271,337,361,416,454,453,476,441,335,228,199,176,337,322,271,238,184,237,233,229,131,130,94,11,12,13,43,124,101,111,52,121,178,170,79,93,75,60,153,95,140,50,40,35,102,30,32,103,30,37,41,128,299,38,39,154,173,168,288,100,102,139,123,120,134,128,163,196,277,511,434,217,168,193,80,266,122,119,128,105,94,90,93,89,102,97,117,126,155,156,175,199,212,342,364,310,241,198,196,227,166,89,41,83,115,119,106,132,263,336,293,306,286,289,402,471,549,463,391,387,296,187,167,134,121,206,236,214,107
    Planned - Others,na,na,na,na,na,na,na,na,na,3,0,0,0,70,70,70,70,70,197,196,138,138,153,130,15,15,15,18,23,40,40,165,86,86,125,125,1,116,117,188,188,187,100,101,114,15,56,56,148,90,148,148,160,160,130,120,127,209,89,116,94,115,395,212,233,327,271,218,331,327,15,15,4,2,5,64,238,340,435,663,569,483,312,236,92,235,127,133,103,85,84,5,0,2,9,6,33,37,2,2,165,307,209,112,169,409,340,403,274,290,363,561,433,417,402,455,414,572,741,1020,931,1037,1023,1036,852,852,1070,1166,1049,992,1087,1089,861,588,573,631,769,939
Total Business Park Space,na,na,na,na,na,na,na,na,na,25,98,258,337,371,371,347,411,420,447,465,477,477,503,503,495,567,597,606,487,508,496,452,373,374,374,266,317,317,376,212,214,129,75,29,44,44,156,191,288,348,374,398,597,612,576,624,559,581,606,606,570,513,535,472,454,453,448,440,447,366,486,488,567,671,679,700,630,586,517,559,462,289,295,149,164,174,174,174,187,189,210,214,128,118,186,229,246,264,309,324,338,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Under Construction,na,na,na,na,na,na,na,na,na,0,73,233,312,345,345,346,411,344,378,396,408,408,434,321,371,380,419,415,431,427,428,425,346,347,276,266,316,156,152,86,52,52,49,29,19,19,144,187,288,299,324,349,526,541,505,403,379,408,428,428,460,438,456,413,349,293,275,213,276,274,383,417,496,584,593,570,570,501,435,297,134,112,149,149,163,174,174,154,132,135,155,122,127,117,184,226,243,262,307,236,229,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,25,25,25,25,25,0,0,0,76,69,69,69,69,69,69,2,37,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,49,3,3,3,10,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,0,0,0,0,0,25,1,0,0,0,0,0,0,0,113,123,151,177,177,13,40,26,26,26,26,56,0,0,160,161,63,88,77,26,0,25,25,12,4,0,0,0,0,68,68,68,211,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Others,na,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,41,0,0,0,41,0,0,0,63,63,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
