thread_url,post_text
https://forum.singaporeexpats.com/./viewtopic.php?t=143378&sid=650e2bd97539606c0e44fc66f08b0dc3,"Australian International School Singapore Quote 5 login to like this post Post by Pal » Tue, 14 Sep 2021 10:00 am AIS has a long history of delivering a holistic, rounded education. What makes us truly unique is that we offer a southern hemisphere academic calendar through an Australian curriculum-based global education, combined with a focus on development of the individual as a whole. A proudly non-selective school, our attention to academic accomplishments as well as the person means every enthusiastic student is welcome. We believe that it is not only intellectual ability that determines an individual’s worth of contribution. Additionally, our focus on Academic Wellbeing means that we “know our students” which supports them in their ambition to be the best version of themselves. Our student-centered curriculum encompasses the very best teaching and learning methodology. With over 45 nationalities, we use our multicultural environment to deliver a comprehensive understanding and appreciation of international mindedness, supported by our emphasis on all students learning an additional language from Pre-nursery to Year 12, the Arts and physical education, for the development of the whole person. Our numerous programmes further ensure each child’s potential is realized. Ranging from Learning Support and English as an Additional Language (EAL) to our Positive Education programme, from our Orientation and Buddy System, to our Wellbeing Counsellors, each child’s needs are carefully assessed, and the right amount of assistance applied. Supporting the Academic Wellbeing of each student relies on understanding an individual’s learning requirements and defining a pathway to best support their learning journey. We do this through the use of an innovative Data Dashboard, with a Predicative Grades tool in upper Secondary which drives teaching and learning for tailored support and more importantly, timely intervention. In doing so, our academic results are well above world averages, with 27% of our students in 2020 achiving an Australian Tertiary Admissions Rank (ATAR) of 90+. Australian International School Singapore 1 Lorong Chuan Singapore 556818 Tel: +65 6517 0247 Website: www.ais.com.sg Email: admissions@ais.com.sg"
https://forum.singaporeexpats.com/./viewtopic.php?t=115222&sid=650e2bd97539606c0e44fc66f08b0dc3,"Stamford American International School Quote 2 login to like this post Post by Pal » Thu, 02 Feb 2017 10:34 pm Stamford American International Singapore offers an holistic education for students from 2 months to 18 years of age, being the first and only school in Singapore to offer Advanced Placement (AP), International Baccalaureate Diploma Programme (IB DP) and Business and Technical Education Council (BTEC) Diploma curricula, together with a US-accredited High School Diploma. American Standards As one of the leading US-centric schools, Stamford American International School offers a challenging American Curriculum that follows the American Education Reaches Out (AERO), Common Core and Next Generation Science Standards (NGSS) combined with the International Baccalaureate (IB) Programme from 18 months to 18 years old. From 18 months, Stamford students begin their learning journey through the use of Teaching Strategies Gold Tracking which is aligned to the USA Head Start Early Learning Outcomes Framework. This provides essential developmentally appropriate standards for guided learning of young children. Stamford American offers the IB Primary Years Program (PYP), the IB Middle Years Program (MYP) and the IB Diploma Program (DP). IB World Schools share a common philosophy— a commitment to high quality, challenging, international education that Stamford American believes is important for our students. The IB PYP is a course of study designed to meet the educational requirements of students between the ages of 3 and 12 years, and focuses on the development of the whole child as an inquirer, both in the classroom and in the world outside. The PYP encourages international-mindedness and a positive attitude to learning by engaging students in inquiries and developing their awareness of the process of learning so that they become lifelong learners. It reflects real life by encouraging learning beyond traditional subjects with meaningful, in-depth inquiries into real issues and emphasizes, through the learner profile, the development of the whole student physically, intellectually, emotionally and ethically. The IB MYP is a course of study designed to meet the educational requirements of students between the ages of 11 and 16 years. The MYP provides a philosophical framework with a holistic approach to education and a rigorous framework for assessment. The MYP aims to educate the whole person and to show the impact of each individual on the world around them. The MYP fosters intercultural awareness and the importance of communication. Its goal is to constantly place learning within a context, and to make explicit the relationship between various disciplines. Multiple graduating pathways Offering flexibility and unparalleled choice, students can choose to graduate with a US accredited Stamford High School Diploma alongside the opportunity to pursue the IB Diploma, AP International Diploma or BTEC Diploma that is aligned closely to their ambitions and future university or career plans. Stamford American recognizes the need to support students’ choices beyond school and hence, carry out pre-university testing from Grade 8 (age 14 yrs) onwards. Stamford American is also one of the few schools in Singapore with onsite SAT and ACT test centers, offering college preparatory tests for secondary students from Grade 10. It also has a dedicated Academic and College Counseling Team that is tuned in to the requirements of universities all over the world. International mindedness through culture and language Globalism lies at the very heart of the school and we are an inclusive school, home to 75 different nationalities where every student is treated as a unique individual and is given the direction, counsel and support to discover her or his own potential for greatness. Being multilingual is a key element of global citizenship. This stands behind the development of Stamford American’s World Language Program which offers three of the world’s most spoken languages – English, Mandarin and Spanish. There are daily and bilingual options in Mandarin or Spanish, as well as an English as an Additional Language (EAL) program, supported by dedicated EAL experts. Two stunning campuses, centrally located Located centrally to major expatriate areas and 10 minutes from Orchard, both Stamford American campuses offer world-class facilities which need to be seen to be believed. Combined, they offer 4 swimming pools, 3 sports arenas, a 500-seat professional theatre, tennis courts, rock climbing walls, a Golf Academy, cutting edge technology and plenty of outdoor spaces. Providing personalized education Every family has different needs and a different set of circumstances. The admissions experience at Stamford American is personalized with three different opportunities: a personalized virtual tour of our campus and its facilities; a comprehensive on-to-one overview of the Stamford American curriculum with our Admissions Manager; a pre-enrolment discovery session. Due to COVID restrictions, access to the school campus is currently limited, but we invite prospective families to make a prior appointment with one of our Admissions Managers. We also hold regular virtual open houses and online seminars for you to learn more about Stamford American. For more information please contact us: admissions@sais.edu.sg www.sais.edu.sg +65 6653 2949"
https://forum.singaporeexpats.com/./viewtopic.php?t=115222&sid=650e2bd97539606c0e44fc66f08b0dc3,"Re: Stamford American International School Quote 1 login to like this post Post by Pal » Fri, 13 Dec 2019 12:14 pm SAIS International School . Singapore Expats Home | Classifieds | Condo | Forum | Property"
https://forum.singaporeexpats.com/./viewtopic.php?t=56258&sid=650e2bd97539606c0e44fc66f08b0dc3,"Sticky Thread Advertisement Post by joop » Wed, 07 Jan 2009 3:28 pm Sticky Thread gives you access to a direct channel to your most potential customers. Choose from relevant categories to have your stickies in. Advertising rates are S$450 for a 6 months exposure and S$850 for a one year exposure. Contact us at enquiry@singaporeexpats.com today! Attachments"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Tenancy agreements/leases and your rights as a tenant Quote 1 login to like this post Post by jpatokal » Fri, 29 May 2009 10:07 am Some advice for people signing leases (tenancy agreements) in Singapore, culled from the collective wisdom and experience of forumers. Comments, corrections and suggestions for additions welcome! Contract In general, the law in Singapore is very much biased in favor of the landlord. Basically, in a court of law, if the right is not explicitly written into the contract, the tenant does not have it. Now, most landlords are perfectly reasonable and you'll have no problems whatsoever -- but a well-written contract will help prepare you for the worst case. Virtually all leases in Singapore use the same boilerplate agreement, and it's worth changing at the least the following in it (list courtesy of Nath21 ): * Security deposit is only used in relation to damages to the property or unpaid rents (they tend to say for non performance of tenancy agreement here which means they can just keep you deposit even if it doesn't relate to damages or rent, ie. such as not getting the air conditioner cleaned quarterly or see next point); * Deleting 'immoral' activities from the wording as they can say anything to get you out with that in (illegal is fine but how do you define immoral?); * Advising you in writing first before deducting amount from you deposit; * Paying back your deposit within 14 days; * Ensuring both parties have no more claims upon each other after the handback evaluation is completed; * Limiting per annum the amount I paid for minor repairs (you are usually responsible for the first $150 but say the fridge, air conditoner, oven all break this can add up fast; * Being able to choose your own maintenance people (sometimes they say in the contract it must be with a certain company) if they dodge you and they often do you are stuck; * Making sure you have something like ""made all reasonable attempts to pay by the clearly communicated rental payment arrangement"" - it has happened where they change the bank details and you default the payment and they keep your security deposit and kick you out if they want; * Get a diplomatic clause (only applies for 2 year contracts). If you leave early after one year you pay 2 months extra only, know they will probably keep your bond as well so make sure this is spelled out as well; * Take out clauses that you cannot possibly perform. I had one in about insurance and I said to comply I needed to see copy of the insurance otherwise how do I know what I have to comply with and the term was immediately withdrawn; * Landlord/agent may only visit your apartment with prior permission from you. Otherwise, if they're selling the apt or looking for a new tenant, random strangers will be ramping through at all hours. When you request these changes, landlords and agents may attempt to dismiss them by saying that they're a part of the standard agreement and/or meaningless and/or nobody ever objected before. Stand your ground; all the changes are reasonable and they will give way. And a final note: some leases split the rental cost into two parts, one for the apartment and the other for furnishings. Previously, this arrangement reduced the landlord's taxes, although the loophole has since been closed. In either case, it has no impact on the tenant. Handover Some landlords attempt to change the terms in the tenancy agreement between the date you sign the letter of intent and the day you move in, figuring that you're their hostage after you've already moved in. The best prevention is to sign the agreement before you move in, but if you find yourself trapped, do not give into blackmail -- the agreement is not binding on you either until it's signed. (For face-saving purposes, though, you may want to give in on a minor point or two.) The contract should state you get 30 days to bring to attention of the landlord any defects in the apartment, including blown lights etc. It's the landlord's responsibility to fix all of these at their cost. Document all problems found in writing and add it to the handback condition assessment. Take detailed pictures of the apartment. Burn two copies on CD/DVD, note the date, and give one copy to the landlord. If you want to be really safe, note model numbers and brands for applicances. Lease renewal Most leases in Singapore are written as one-year leases with the option to extend by one more year. The landlord can and will change the rental price when renewal day comes up. All things considered, you can expect to be able to negotiate a small reduction if you've been good tenants, but in Singapore's rollercoaster property market the price can still swing wildly. Your agent may wish to get a cut of the renewed lease as well, even though they did absolutely zero extra work for this. Make clear, in writing, whether you, the landlord, or anybody will pay the agent's fee. If landlord and tenant are happy with each other and the lease allows this, it's not uncommon to cut out the agent entirely, deal directly and save the money. If there is a previous tenancy agreement, a lease can be renewed under the same conditions with a simple letter saying so, signed by both landlord and tenant. However, even this letter has to be duty stamped. Early termination Diplomatic clauses allow early lease termination after a fixed period (usually 14 months on a two-year contract). If you have no diplomatic clause and wish to/forced to terminate the lease earlier, you are theoretically required to pay out the entire remainder of the lease. In practice, most landlords will be fine if you can find a tenant to take over at the same price, but a few greedy ones will not accept this. In this situation, many expats (especially those leaving the country) opt to simply cut and run, forfeiting their security deposit. Needless to say, this is a breach of contract and the landlord can -- in theory -- sue you to recover the rest. Handing back the apartment Cases of landlords refusing to repay deposits or making massive deductions on spurious grounds (retiling an entire floor because of a single chipped corner etc) are regrettably common. Prevention is the best cure here: document the state of the apartment before you move in and ensure the deposit returning rules are laid out in the contract. You may be advised by friends to withhold the last month's rent in lieu of the deposit. However, this is explicitly forbidden by most lease agreements and the landlord can legally kick you out of the apartment after a single week 's delay in the rental payment, so don't resort to this without considering the consequences. In the case of an unresolvable dispute, the best avenue for legal resolution is the Small Claims Tribunal . If no longer in Singapore, you can appoint a friend to act on your behalf, and quite often the mere threat of bringing the issue to court will magically improve the landlord's behavior. Vaguely heretical thoughts on travel technology at Gyrovague"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Quote 0 login to like this post Post by aargon » Mon, 07 Dec 2009 8:05 pm who pays for stamp duty costs? tenant or the landlord?"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Quote 0 login to like this post Post by aargon » Mon, 07 Dec 2009 8:07 pm and why am i the only person to have replied in this thread after 6 months since it was written?"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Quote 0 login to like this post Post by jpatokal » Wed, 13 Jan 2010 11:35 am Normally the tenant pays the stamp duty, but it's the agent/landlord's duty to actually handle the stamping, and the tenant should get a copy of the receipt to prove that it's been done. Vaguely heretical thoughts on travel technology at Gyrovague"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Quote 0 login to like this post Post by macaroonie » Tue, 02 Feb 2010 5:39 pm With the diplomatic clause, is it enough that the contract says the diplomatic clause can be exercised after 6 months (with 2 months notification period). Is it a given that the deposit will returned if i tell them i am moving out after 6 months and 1 day - or does the contract really need to specify that 'the deposit will be returned in full if the diplomatic clause is exercised'? Thanks!"
https://forum.singaporeexpats.com/./viewtopic.php?t=60579&sid=650e2bd97539606c0e44fc66f08b0dc3,"Quote 0 login to like this post Post by jpatokal » Wed, 03 Feb 2010 2:01 pm macaroonie wrote: With the diplomatic clause, is it enough that the contract says the diplomatic clause can be exercised after 6 months (with 2 months notification period). That's what the diplomatic clause means, no? The whole point of the deposit is that you lose it if you unilaterally terminate your lease and/or trash the place. Is it a given that the deposit will returned if i tell them i am moving out after 6 months and 1 day - or does the contract really need to specify that 'the deposit will be returned in full if the diplomatic clause is exercised'? You can't ask for it to be returned ""in full"", because you may have stolen the fridge and practiced your sledgehammer skills on the living room wall... Vaguely heretical thoughts on travel technology at Gyrovague"
